"",الانتخابات التشريعية  2014,,,,,,,,,,,,,,,,,,,,,
"",ورقة كشف نتائج دائرة منوبة,,,,,,,,,,,,,,,,,,,,,
"","مجموع الأصواتالمصرح بها بالدائرةالانتخابية",,توزيع الأصوات  المصرح بها حسب المعتمدية,,القائمات المترشحة,,الترتيب,,,,,,,,,,,,,,,
"",,,وادي الليل,,منوبة,,طبربة,,دوار هيشر,,برج العامري,,المرناقية,,الجديدة,,البطان,,,,,
"",550,,60,,44,,182,,69,,27,,54,,68,,46,,قائمة حزب العمل التونس ي,,1,
"",261,,33,,28,,33,,76,,6,,36,,34,,15,,قائمة حزب الأمان,,2,
"",175,,18,,23,,28,,37,,9,,20,,27,,13,,قائمة التآلف,,3,
"",333,,66,,59,,41,,75,,16,,23,,38,,15,,قائمة الأحرار,,4,
"",2 927,,410,,1 353,,178,,395,,59,,285,,157,,90,,قائمة حزب آفاق تونس,,5,
"",861,,146,,167,,161,,164,,31,,83,,82,,27,,قائمة حزب التكتل,,6,
"",306,,47,,36,,45,,68,,16,,31,,41,,22,,قائمة حزب الأمانة والعدالة,,7,
"",378,,49,,46,,57,,80,,18,,56,,49,,23,,قائمة اتحاد الشباب الديمقراطي التونس ي,,8,
"",273,,30,,27,,27,,62,,22,,67,,25,,13,,قائمة حزب الشباب الحر,,9,
"",476,,56,,71,,40,,49,,25,,142,,74,,19,,قائمة حزب المجد,,10,
"",426,,84,,82,,45,,72,,25,,57,,42,,19,,قائمة نداء قرطاج,,11,
"",132,,33,,15,,18,,23,,8,,13,,13,,9,,قائمة وطنـــــي,,12,
"",931,,225,,125,,123,,158,,38,,88,,119,,55,,قائمة الائتلاف الديمقراطي للعمل والتنمية,,13,
2 825,492,1 232,147,329,58,318,183,66,قائمة حزب التيار الديمقراطي,14
167,26,23,22,35,14,20,18,9,قائمة حزب البناء الوطني,15
259,39,42,37,59,14,29,19,20,قائمة الشعب يريد,16
272,44,48,23,55,16,33,37,16,قائمة الوفاق,17
339,48,116,34,60,7,29,31,14,قائمة حزب الزيتونة,18
175,24,15,41,23,12,19,21,20,قائمة الحركة الديمقراطية للإصلاح والبناء,19
289,40,26,36,40,59,32,36,20,قائمة حزب العدل والتنمية,20
1 279,169,199,568,98,31,64,90,60,قائمة  حركة الشعب,21
478,71,40,48,50,21,26,55,167,قائمة أمل وعمل,22
33 064,6 450,7 384,3 331,5 384,1 169,4 205,3 903,1 238,قائمة حزب حركة النهضة,23
311,58,41,47,76,10,25,25,29,القائمة المستقلة لخدمة منوبة,24
238,44,89,17,22,15,26,20,5,قائمة حزب الإصلاح والتنمية,25
975,522,69,44,165,27,51,80,17,قائمة النجاح,26
151,24,27,19,30,6,17,20,8,قائمة السلام والازدهار,27
305,96,57,14,61,10,24,38,5,قائمة الحركة الدستورية,28
146,30,16,18,30,6,26,16,4,قائمة تونس العزيزة,29
230,95,10,47,28,8,11,19,12,قائمة الصمود,30
356,37,31,24,53,137,27,32,15,القائمة المستقلة للعين الساهرة,31
316,51,66,37,57,16,43,32,14,قائمة حزب الجبهة الوطنية التونسية,32
211,25,15,25,100,7,9,23,7,قائمة حركة البناء المغاربي,33
224,37,22,27,61,9,23,34,11,قائمة حزب صوت شعب تونس,34
161,26,19,16,33,15,18,23,11,قائمة حزب المحافظين التونسيين,35
199,36,26,19,35,18,23,29,13,قائمة حزب المؤتمر الشعبي,36
203,27,47,24,30,14,29,20,12,قائمة القلم,37
220,32,23,25,76,9,27,20,8,قائمة المدافعون عن الحق,38
526,76,60,81,107,43,61,54,44,قائمة تونس الغد,39
346,42,41,25,48,22,109,37,22,قائمة الحزب التونس ي,40
735,128,122,80,122,39,94,109,41,قائمة تيار المحبة,41
154,34,18,17,36,11,9,18,11,قائمة المعطلين عن العمل,42
194,30,16,25,31,23,22,38,9,قائمة حركة الديمقراطيين الاشتراكيين,43
267,46,26,49,44,20,27,34,21,والتنمية,44
1 302,411,181,106,215,53,166,105,65,قائمة حزب المبادرة,45
750,74,116,108,116,129,107,65,35,القائمة البورقيبية,46
1 515,209,486,128,229,61,200,166,36,قائمة حزب المؤتمر من أجل الجمهورية,47
918,129,183,121,153,32,104,145,51,قائمة حركة وفاء,48
252,21,15,21,123,4,21,40,7,قائمة اتحاد القوى الشبابية,49
882,166,249,53,72,165,89,61,27,قائمة حزب التحالف الديمقراطي,50
1 465,233,440,129,198,65,230,124,46,قائمة الحزب الجمهوري,51
187,24,12,15,18,8,22,73,15,قائمة حزب النور للديمقراطية والتنمية,52
679,90,295,44,87,15,61,59,28,قائمة الاتحاد من أجل تونس,53
38 009,5 605,11 558,4 061,5 280,2 070,3 930,3 560,1 945,قائمة حركة نداء تونس,54
360,50,48,42,70,15,56,44,35,قائمة الأمل,55
2 981,590,1 026,290,382,83,261,251,98,قائمة الجبهة الشعبية,56
301,58,38,37,86,8,23,31,20,قائمة المستقبل,57
207,35,21,55,36,9,19,21,11,قائمة متحدون من أجل تونس,58
9 460,1 522,1 290,1 424,1 715,573,1 023,1 553,360,قائمة حزب الاتحاد الوطني الحر,59
112 912,19 373,28 000,12 579,17 486,5 456,12 743,12 181,5 094,الأصوات المصرح بها لكل القائمات,
