"الانتخابات التشريعية  2014",,,,,,,,,,,,,
"ورقة كشف نتائج دائرة سوسة",,,,,,,,,,,,,
"مجموع الأصواتالمصرح بها بالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,,,,,,,,,,,,
"",هرقلة,مساكن,كندار,سيدي بوعلي,سيدي الهاني,"سوسة سيديعبد الحميد","سوسةالجوهرة",سوسة المدينة,سوسة الرياض,"حمامسوسة",بوفيشة,النفيضة,القلعة الكبرى
603,10,183,11,25,13,40,51,33,33,17,29,56,30
229,3,8,3,22,2,18,41,8,27,15,16,29,14
1 535,28,249,34,59,34,109,162,98,102,71,90,116,56
185,6,25,4,7,8,13,20,12,15,14,12,24,5
581,10,74,11,20,18,68,61,32,48,26,32,62,35
305,6,26,10,28,11,17,30,16,19,21,14,21,14
513,10,72,10,12,11,47,56,36,45,41,26,53,26
890,24,79,26,82,21,29,108,44,193,26,37,53,62
2 131,11,196,39,23,37,505,200,60,385,50,92,107,54
12 360,87,683,54,253,73,307,1 646,715,694,787,125,120,5 369
137,4,14,1,2,6,9,14,9,5,10,18,13,12
440,11,54,12,16,15,31,36,17,23,21,39,41,55
352,4,39,4,9,9,21,28,9,36,11,21,34,79
289,5,23,8,3,5,53,25,17,34,19,15,20,13
102 604,1 823,9 556,1 239,2 965,1 490,5 032,18 883,10 373,9 896,10 683,4 011,4 955,4 286
50 820,740,11 727,1 112,1 437,736,3 189,6 077,2 983,5 497,2 242,1 883,2 941,2 979
393,1,39,14,4,16,22,36,13,109,10,22,53,10
127,1,20,2,3,4,24,7,2,10,8,6,20,4
650,2,31,9,14,13,100,65,18,195,19,26,34,10
427,2,25,3,8,14,28,98,9,65,10,29,100,5
257,2,14,3,8,3,8,12,8,14,6,7,27,10
217,2,21,10,9,6,11,36,5,14,9,17,37,7
561,6,43,6,17,5,29,101,52,59,46,24,24,51
621,11,79,14,28,17,54,70,42,67,29,33,67,29
297,5,33,5,10,11,28,27,20,19,16,22,33,13
294,5,30,5,7,23,23,24,5,52,6,17,34,23
226,1,40,5,5,6,25,23,10,26,4,16,25,8
400,7,45,13,11,24,25,32,21,45,15,38,41,17
4 848,41,225,297,191,47,270,331,172,460,159,610,1 597,60
2 237,6,395,17,20,18,93,462,201,329,160,96,56,69
2 458,18,446,11,421,36,111,341,146,215,160,61,112,69
2 887,9,962,18,23,55,93,342,137,413,110,106,137,86
568,10,62,18,17,20,115,34,16,92,32,27,47,22
5 502,38,442,38,438,18,204,933,346,748,603,90,918,133
225,1,91,8,1,6,11,20,6,12,6,11,17,11
323,4,31,19,6,16,28,24,19,39,19,30,28,10
295,4,43,6,6,9,26,39,16,33,15,12,24,17
142,3,17,5,10,2,7,15,5,21,4,12,16,2
212,4,24,9,10,6,12,38,12,17,19,9,11,9
1 213,7,112,6,3,8,52,382,159,134,94,31,43,32
180,2,16,2,9,8,9,16,15,32,6,8,19,8
8 626,64,965,168,235,102,570,1 080,414,536,1 470,215,1 090,508
346,5,107,11,7,10,13,30,23,24,4,10,28,21
"",,,,
"",,,,
"",القائمات المترشحة,,,
"القلعةالصغرى",الزاوية-القصيبة-الثريات,أكودة,,
25,18,29,قائمة حركة الإقلاع إلى المستقبل,1
7,7,9,قائمة اتحاد القوى الوطنية,2
186,77,64,قائمة حزب التكتل,3
5,11,4,قائمة الحزب الليبرالي التونس ي,4
27,37,20,قائمة حركة الديمقراطيين الاشتراكين,5
41,23,8,قائمة الحركة الديمقراطية للإصلاح والبناء,6
25,14,29,قائمة تحيا تونس,7
18,38,50,قائمة الحركة الدستورية,8
86,211,75,قائمة تيار المحبة,9
473,161,813,قائمة حزب آفاق تونس,10
9,4,7,قائمة حركة الربيع العربي,11
24,17,28,قائمة حزب السيادة الشعب,12
12,20,16,قائمة حزب المستقبل,13
19,11,19,قائمة الرافدة,14
6 039,5 019,6 354,قائمة حركة نداء تونس,15
2 751,2 186,2 340,قائمة حزب حركة النهضة,17
16,18,10,قائمة حزب العمل التونس ي,18
9,3,4,قائمة الأديب للتنمية والعدالة,19
50,42,22,قائمة حزب العريضة الشعبية,20
17,9,5,قائمة حزب حركة التونس ي,21
8,122,5,قائمة الصباح الجديد لتونس,22
5,9,19,قائمة حزب القيم الوطنية,23
36,35,27,قائمة الاتحاد من أجل تونس,24
28,26,27,القائمة البورقيبية,25
23,17,15,قائمة حزب التكتل الشعبي من أجل تونس,26
16,13,11,قائمة حزب العدل والتنمية,27
14,13,5,قائمة باب الأمل,28
13,28,25,قائمة الحزب الاشتراكي,29
161,122,105,قائمة حزب الاتحاد الوطني الحر,30
111,113,91,قائمة حزب التيار الديمقراطي,31
103,91,117,قائمة الحزب الجمهوري,32
113,97,186,قائمة حزب المؤتمر من أجل الجمهورية,33
17,21,18,قائمة إرادة الشعب,34
205,154,194,قائمة الجبهة الشعبية,35
10,6,8,قائمة الشعب يريد,36
29,10,11,قائمة حزب صوت شعب تونس,38
25,11,9,قائمة حزب الأمان,39
6,11,6,قائمة اتحاد الشباب الديمقراطي التونس ي,40
9,14,9,قائمة الائتلاف المستقل لحركة نور تونس,41
72,35,43,قائمة حزب التحالف الديمقراطي,42
16,8,6,قائمة حضر موت,43
569,190,450,قائمة حزب المبادرة,44
16,6,31,قائمة جوهرة,45
