"الانتخابات التشريعية  2014",,,,,,,,,,,,,,
"ورقة كشف نتائج دائرة سيدي بوزيد",,,,,,,,,,,,,,
"مجموع الأصواتالمصرح بها بالدائرةالانتخابية",توزيع الأصوات  المصرح بها حسب المعتمدية,القائمات المترشحة,,,,,,,,,,,,
"",المكناس ي,"سبالة أولادعسكر","سيدي علي بنعون","سوقالجديد",المزونة,أولاد حفوز,بئر الحفي,منزل بوزيان,جلمة,س.ب الشرقيّة,س.ب الغربيّة,الرقاب,,
1 820,215,63,52,74,49,41,68,246,162,83,425,342,"قائمة حزب المؤتمرمن أجل الجمهورية",1
683,24,32,19,19,13,36,73,17,39,41,288,82,قائمة حزب المجد,2
938,34,67,23,317,38,22,27,19,106,79,153,53,"قائمة حزب آفاقتونس",3
993,47,61,49,41,59,42,107,51,86,99,193,158,قائمة حزب حركة وفاء,4
146,21,11,7,5,5,7,7,22,19,5,21,16,"قائمة اتحاد القوىالشبابية",5
1 363,113,23,87,52,5,25,35,16,37,72,866,32,قائمة من أجل بلادي,6
804,40,33,71,84,16,31,32,43,23,39,209,183,"قائمة خدمة للمواطنوفداء للوطن",8
7 918,1 098,238,418,106,494,209,211,1 447,939,242,1 323,1 193,قائمة الجبهة الشعبية,9
203,16,3,15,9,10,14,11,12,24,23,36,30,قائمة تفاحة عربية,10
107,10,8,3,8,4,2,7,10,15,6,20,14,"قائمة حزب النورللديمقراطية والتنمية",11
1 328,14,183,22,23,49,26,34,28,753,73,62,61,"قائمة من أجل حياةأفضل",12
1 074,82,34,44,25,67,161,89,13,42,65,393,59,قائمة حزب المبادرة,13
668,12,439,18,7,10,17,18,12,46,21,34,34,قائمة وفاق,14
1 254,25,20,25,15,45,45,154,32,25,42,102,724,"قائمة حزب التحالفالديمقراطي",15
385,43,16,17,44,14,26,31,52,22,30,43,47,"قائمة حركةالديمقراطيينالاشتراكيين",17
11 806,350,513,1 041,422,412,1 111,1 001,584,508,1 974,1 569,2 321,قائمة  تيّار المحبّة,18
491,11,43,21,24,158,26,25,39,34,38,34,38,قائمة الدرب,19
18 990,1 332,1 236,893,630,1 369,894,1 214,868,1 654,1 089,3 887,3 924,"قائمة حزب حركةالنهضة",20
683,180,46,33,67,21,22,38,37,42,48,58,91,قائمة قائمة الشهيد,21
782,24,34,25,26,21,33,197,167,54,42,55,104,قائمة الحزب الاشتراكي,22
355,8,18,16,20,12,25,58,24,30,28,41,75,قائمة غزة,23
298,16,14,10,18,11,12,21,36,33,23,59,45,"قائمة الوفاء والعزةللوطن",24
724,33,27,19,14,18,38,35,342,38,35,59,66,قائمة حزب التكتل,26
253,24,7,6,6,20,9,11,88,16,16,33,17,قائمة حزب الأمان,27
421,14,13,44,18,11,30,31,25,19,29,153,34,"قائمة الحركةالدستورية",28
252,27,8,13,12,14,24,15,12,15,24,66,22,"قائمة التشغيلاستحقاق",29
299,8,22,3,7,14,16,6,5,9,55,142,12,قائمة الميعاد,30
393,234,13,3,14,36,17,9,6,13,19,14,15,"قائمة القائمةالمستقلة الزيتونة",31
283,10,9,11,12,13,9,31,7,13,29,117,22,قائمة الوعد,32
1 941,50,59,86,43,91,759,150,64,96,134,215,194,"قائمة فداء المحبةلتونس",33
445,17,21,47,25,37,27,39,26,50,33,76,47,قائمة النور,34
2 250,136,124,103,95,187,112,178,51,129,208,586,341,"قائمةحزب الاتحادالوطني الحر",35
710,11,10,16,15,21,32,24,243,138,134,31,35,"قائمة حزب حركةالجمهورية",37
210,7,15,9,9,4,15,15,19,14,30,39,34,"قائمة الحركةالديمقراطية للإصلاحوالبناء",38
807,7,14,6,3,0,15,14,18,4,10,20,696,"قائمة الحزبالديمقراطي للعدالةوالرخاء",39
1 175,20,297,10,27,6,18,188,16,402,43,78,70,قائمة حركة التونس ي,40
520,114,19,24,29,10,20,72,78,17,44,65,28,قائمة تونس أقوى,41
27 399,981,785,1 650,1 220,2 205,1 755,3 038,1 583,1 320,2 561,6 195,4 106,"قائمة حركة نداءتونس",42
622,10,10,7,18,409,18,30,18,13,18,33,38,"قائمة حزب صوتالفلاحين",43
197,7,14,12,10,9,14,7,9,18,28,48,21,"قائمة حزب صوتشعب تونس",44
435,9,9,11,144,5,9,54,13,13,49,94,25,"قائمة  حزب جبهة  17ديسمبر للتنمية",45
2 661,510,10,11,935,39,27,79,399,41,107,239,264,"قائمة الوفاء لمشروعالشهيد",47
440,16,8,28,16,273,8,22,4,8,16,30,11,قائمة البديل الشبابي,48
671,20,20,13,32,44,56,43,215,51,67,62,48,قائمة الأمل,49
576,20,20,11,13,17,11,16,34,336,27,37,34,"قائمة حزب الجبهةالوطنية التونسية",50
555,99,76,19,101,15,9,23,13,29,47,82,42,قائمة أبناء الشعب,51
803,23,60,22,19,24,17,66,19,308,59,122,64,"قائمة حزب التيارالديمقراطي",52
131,8,23,3,1,3,21,13,16,10,14,10,9,"قائمة الأديب للتنميةوالعدالة",53
2 793,10,7,91,21,10,79,65,191,20,670,1 078,551,"قائمة الجبهة الوطنيةللإنقاذ",54
262,13,15,10,10,15,11,21,8,16,39,87,17,قائمة حزب المستقبل,55
928,15,35,21,24,39,21,49,36,284,65,282,57,قائمة حزب الغد,56
326,15,15,31,24,20,15,44,19,24,31,52,36,قائمة الشعب يريد,58
715,41,22,35,25,37,30,49,37,43,143,180,73,قائمة فداء تونس,59
457,9,10,9,9,43,12,14,12,15,11,51,262,"قائمة الاتحاد منأجل تونس",60
121,5,1,8,46,1,5,4,13,6,4,17,11,قائمة لنكن عادلين,61
226,11,18,11,16,15,16,15,9,15,47,26,27,قائمة تحدي,62
1 618,127,29,52,66,46,43,353,70,117,173,414,128,قائمة حركة الشعب,63
218,19,18,5,21,16,7,11,13,12,18,50,28,قائمة قائمة المرقوم,64
