list_total,list
1332,قائمة حزب التكتل
1565,التحالف الديمقراطي
559,الجبهة الوطنية التونسية
1479,حزب المؤتمر من أجل الجمهورية
289,حركة الشباب الوطني التونس ي
261,الدخلة للعمل والعدالة و التنمية
430,أتحاد ألشباب دمقراطي التونس ي
584,الإتحاد من أجل تونس
252,حزب الريادة
939,تونس العزيزة
805,حركة بديل
414,أمل تونس
659,قائمة الحزب الإشتراكي
377,قائمة حزب المجد
7045,الإتحاد الوطني الحر
311,تميّــــــــــــــــز
830,تيار المحبة
205,الحزب الليبرالي التونس ي
300,جبهة 17ديسمبر للتنمية
73739,حركة نداء تونس
7135,افاق تونس
1271,حركة وفاء
1089,صوت شعب تونس
320,التحدي
2408,الحزب الجمهوري
457,اللقاء الدستوري
297,قائمة الحركة الدستورية
550,حزب حركة الجمهورية
996,حركة الشعب
426,حركة الديمقراطيين الإشتراكيين
29368,حركة النهضة
6048,الجبهة الشعبية
2989,التيَار الديموقراطى
218,الشعب يريد
1371,حزب المبادرة
362,سامي بالحاج
147680,الأصوات المصرح بها لكل القائمات
