list_total,list
404,"قائمة اتحاد القوىالشبابية"
5016,"قائمة حزب آفاقتونس"
664,"القائمة الدستوريةالموحدة"
514,قائمة حزب المجد
282,"قائمة نحب بلادينظيفة"
996,"قائمة حزب التحالفالديمقراطي"
329,قائمة حزب الأمان
335,"قائمة حركةالديمقراطيين"
249,"قائمة حزب الانفتاحوالوفاء"
356,"قائمة التكافلالاجتماعي"
53343,"قائمة حزب حركةالنهضة"
459,"قائمة حركةالديمقراطيين"
437,"قائمة حزب الجبهةالوطنية التونسية"
276,"قائمة حركة الشبابالوطني التونس ي"
680,"قائمة حزب صوتشعب تونس"
378,قائمة الحزب الاشتراكي
359,"قائمة حزب الإصلاحوالتنمية"
257,"قائمة حزب العملالتونس ي"
245,"قائمة حزب المؤتمرالشعبي"
436,"قائمة حزب الخضرللتقدم"
5404,"قائمة حزب التيارالديمقراطي"
360,"قائمة حزب البناءالوطني"
865,قائمة تيار المحبة
1796,"قائمة الاتحاد منأجل تونس"
396,قائمة الحزب التونس ي
621,قائمة حركة الشعب
159,"قائمة الحزب الليبراليالتونس ي"
151,"قائمة تونس موشللبيع"
285,قائمة إرادة الشعب
267,قائمة الشعب يريد
60295,"قائمة حركة نداءتونس"
170,"قائمة اتحاد الشبابالديمقراطي التونس ي"
136,قائمة عزم- توكل- بناء
704,"قائمة الائتلافالديمقراطي للعمل"
584,"قائمة الحزب الإسلاميالتونس ي"
2014,"قائمة حزب المؤتمر منأجل الجمهورية"
509,قائمة أمل تونس
439,قائمة البؤساء
868,قائمة حزب التكتل
5321,قائمة الجبهة الشعبية
564,"قائمة حزب العريضةالشعبية"
2098,قائمة حزب الوحدة
341,"قائمة الحزب الشعبيالتقدمي"
2898,"قائمة الحزبالجمهوري"
